pH,OrganicCarbon,Nitrogen,Phosphorus,Potassium,Sand,Silt,Clay,SoilType
5.9,1.41,162.8,171.4,264.2,22.7,41.3,29.7,Forest Soil
7.27,0.85,143.4,293.4,264,31.9,40.1,24.5,Alluvial Soil
5.37,2.96,266.7,237.6,205.3,9.6,28.3,64.6,Peaty Soil
7.57,0.2,53.8,65.1,193.5,83.1,8.9,7.7,Arid Soil
6.54,0.34,103.5,82.2,229,30.5,25.3,48.6,Red Soil
8.61,0.15,52.5,40.4,158.4,50.1,24.2,19.2,Saline Soil
5.21,2.15,343.3,185.1,253.1,10.9,27.5,63.1,Peaty Soil
5.45,1.97,219.4,135.3,278.6,24.1,48.4,28.2,Forest Soil
6.45,0.37,115.7,84,224.1,33.5,30,48.1,Red Soil
8.09,0.15,54.6,60.7,195.9,70.6,10.4,10.7,Arid Soil
5.64,0.26,70.8,66.7,128.1,26.9,12.8,63,Laterite Soil
7.55,0.21,65.3,70.5,155.5,77.6,8.8,12.9,Arid Soil
8.42,0.84,133.3,104.1,356.5,17.3,28.9,61.1,Black Soil
5.39,1.4,236.9,162.7,272.1,16,42.7,20.6,Forest Soil
6.32,1.72,156.8,126.4,275.4,15.2,53.8,29.5,Forest Soil
5.73,0.24,66.7,77.3,143.6,24.5,18.2,52.6,Laterite Soil
6.75,0.83,124.7,293.3,265.8,31,35.3,21.8,Alluvial Soil
6.96,0.38,116.2,98.7,229.5,33.8,27.7,47.6,Red Soil
4.09,2.75,260.7,174.3,216.4,10.9,20.9,69,Peaty Soil
5.46,2.57,257.8,198,289.8,8.5,23.3,67.2,Peaty Soil
5.88,2.65,293,246.8,233.5,11.3,29,67.5,Peaty Soil
8.07,1.1,106.9,85.9,347.2,13.4,22.3,64.2,Black Soil
5.12,0.22,65.8,63.5,174.8,24,11.7,58.8,Laterite Soil
7.8,0.12,46.6,57,153.9,70.1,12.7,9.7,Arid Soil
6.98,0.76,152.9,295,346.6,33.2,43.8,22.2,Alluvial Soil
8.13,0.29,78.3,42.7,197.1,52.1,22.8,18.9,Saline Soil
8,0.15,42.3,71.5,176.2,83.5,5.2,13.2,Arid Soil
6.13,0.49,110.1,79.5,217.5,38.9,26.6,45.6,Red Soil
4.65,0.32,73.3,79.2,155.9,26.7,15.1,59.8,Laterite Soil
5.17,1.85,224.9,165.5,242,22.5,42.9,28.9,Forest Soil
6.88,0.86,134.4,289.5,317.4,31.1,37.7,29.2,Alluvial Soil
6.17,1.42,219.3,167.8,252.7,21.9,52,25.7,Forest Soil
6.34,1.73,233.6,177.7,244.7,23.6,50.7,27.9,Forest Soil
